"","difMedia","difSd","erroInv","erroInvConf","erroInvProp","diffErro","conf_t","conf_ks","conf_graybill","inv_t","inv_ks","inv_graybill"
"66",0.6,0.6,4.5013,4.538683,4.502695,-0.0373830000000004,2.9946252439521e-126,2.3083053756201e-08,0.02710426,0,0,2.23872849009e-35
"67",0.6,0.7,4.5013,4.5356,4.504018,-0.0343000000000003,5.0989869561195e-109,1.47166728781123e-08,0.028505588,0,0,2.8817586171657e-32
"68",0.6,0.8,4.5013,4.537952,4.508348,-0.0366520000000004,8.26891441755107e-85,2.64130998084422e-08,0.0290684058,0,0,8.19342216771e-31
"69",0.6,0.9,4.5013,4.536597,4.508454,-0.0352970000000004,4.8483019021192e-71,1.21093545601969e-08,0.037307509,0,0,5.70224087529e-30
"70",0.6,1,4.5013,4.519499,4.502888,-0.0181990000000004,1.3515243412696e-58,9.73804388226807e-08,0.0350647455,0,0,2.85023487913619e-29
"71",0.7,0.1,4.5013,4.531779,4.504409,-0.0304790000000004,0,1.27167376628989e-11,0.004198029884,0,0,2.08190160772228e-57
"72",0.7,0.2,4.5013,4.57038,4.503586,-0.0690800000000004,0,1.88487225827316e-12,0.0073143061,0,0,1.386359697706e-50
"73",0.7,0.3,4.5013,4.548001,4.504762,-0.0467010000000004,0,1.18927168113459e-11,0.0119972609,0,0,1.092685880369e-44
"74",0.7,0.4,4.5013,4.533374,4.505069,-0.0320740000000004,1.83333173124445e-278,1.80438575192454e-11,0.0128124064,0,0,8.44530196719e-42
"75",0.7,0.5,4.5013,4.537979,4.502797,-0.0366790000000004,6.08409349234344e-219,2.08234385290496e-11,0.019905348,0,0,2.49968217432e-38
"76",0.7,0.6,4.5013,4.543005,4.50433,-0.0417050000000004,4.30414885702179e-166,1.68662244171003e-10,0.0208037709,0,0,5.0758818765235e-36
"77",0.7,0.7,4.5013,4.54816,4.503951,-0.0468600000000004,2.64986876183747e-135,3.51495166306393e-11,0.025006593,0,0,2.5760965508059e-33
"78",0.7,0.8,4.5013,4.54206,4.510026,-0.0407600000000003,1.17236879942592e-110,8.826764541503e-11,0.032076436,0,0,1.59254959462e-33
"79",0.7,0.9,4.5013,4.551036,4.507624,-0.0497360000000004,3.72031493743438e-85,1.20852227114554e-10,0.0353086019,0,0,3.679423757843e-32
